rk,player,age,team,pos,g,gs,tgt,rec,yds,y/r,td,1d,succ%,lng,r/g,y/g,ctch%,y/tgt,fmb,awards
59.0,Cooper Kupp,30.0,LAR,WR,12.0,12.0,95.0,59.0,737.0,12.5,5.0,33.0,49.5,62.0,4.9,61.4,62.1,7.8,0.0,
60.0,Elijah Moore,23.0,CLE,WR,17.0,12.0,104.0,59.0,640.0,10.8,2.0,29.0,42.3,42.0,3.5,37.6,56.7,6.2,2.0,
61.0,Dalton Schultz,27.0,HOU,TE,15.0,8.0,88.0,59.0,635.0,10.8,5.0,35.0,52.3,31.0,3.9,42.3,67.0,7.2,1.0,
62.0,Courtland Sutton,28.0,DEN,WR,16.0,14.0,90.0,59.0,772.0,13.1,10.0,37.0,54.4,46.0,3.7,48.3,65.6,8.6,3.0,
63.0,Travis Etienne,24.0,JAX,RB,17.0,17.0,73.0,58.0,476.0,8.2,1.0,23.0,49.3,56.0,3.4,28.0,79.5,6.5,0.0,AP OPoY-8
64.0,Bijan Robinson,21.0,ATL,RB,17.0,16.0,86.0,58.0,487.0,8.4,4.0,24.0,45.3,71.0,3.4,28.6,67.4,5.7,4.0,AP ORoY-5
65.0,Christian Kirk,27.0,JAX,WR,12.0,12.0,85.0,57.0,787.0,13.8,3.0,34.0,57.6,57.0,4.8,65.6,67.1,9.3,2.0,
66.0,Tony Pollard,26.0,DAL,RB,17.0,17.0,67.0,55.0,311.0,5.7,0.0,12.0,43.3,60.0,3.2,18.3,82.1,4.6,3.0,
67.0,Logan Thomas,32.0,WAS,TE,16.0,15.0,78.0,55.0,496.0,9.0,4.0,21.0,56.4,29.0,3.4,31.0,70.5,6.4,2.0,
68.0,Brandin Cooks,30.0,DAL,WR,16.0,15.0,81.0,54.0,657.0,12.2,8.0,38.0,59.3,37.0,3.4,41.1,66.7,8.1,1.0,
69.0,Jerry Jeudy,24.0,DEN,WR,16.0,11.0,87.0,54.0,758.0,14.0,2.0,28.0,46.0,47.0,3.4,47.4,62.1,8.7,1.0,
70.0,Chigoziem Okonkwo,24.0,TEN,TE,17.0,11.0,77.0,54.0,528.0,9.8,1.0,25.0,48.1,39.0,3.2,31.1,70.1,6.9,0.0,
71.0,Kyle Pitts,23.0,ATL,TE,17.0,15.0,90.0,53.0,667.0,12.6,3.0,35.0,52.2,39.0,3.1,39.2,58.9,7.4,0.0,
