player,predicted_rush_yds,predicted_rush_tds,predicted_rec_yds,predicted_rec_tds,predicted_receptions,predicted_fantasy_points,normalized_projected,potential_score,avg_fantasy,std_fantasy,games_played,consistency_score,prior_stat_score,final_grade,grade_label
Khalil Herbert,188.34,1.5,14.67,0.0,10.875,71.74141666666672,20.61856456682046,20.61856456682046,38.5,0.7071067811865476,2.0,98.16335905761004,26.551724137931032,42.1,Depth
Khalil Herbert,187.99,1.49,19.8,0.0,11.435,72.08866666666668,20.718364610902306,20.718364610902306,38.5,0.7071067811865476,2.0,98.16335905761004,26.551724137931032,42.1,Depth
Khalil Herbert,122.46,2.001309523809524,24.69,0.0,11.665,67.82220238095242,19.492177933327177,19.492177933327177,38.5,0.7071067811865476,2.0,98.16335905761004,26.551724137931032,41.6,Depth
Khalil Herbert,122.46,2.0097619047619046,14.59,0.0,10.845,66.17925000000005,19.01999155451237,19.01999155451237,38.5,0.7071067811865476,2.0,98.16335905761004,26.551724137931032,41.4,Depth
Khalil Herbert,120.31,2.0097619047619046,19.72,0.0,11.405,66.06328571428574,18.98666328719427,18.98666328719427,38.5,0.7071067811865476,2.0,98.16335905761004,26.551724137931032,41.4,Depth
Khalil Herbert,168.67,1.5466666666666669,24.73,0.0,11.695,71.64470238095241,20.59076877134851,20.59076877134851,38.5,0.7071067811865476,2.0,98.16335905761004,26.551724137931032,42.1,Depth
Khalil Herbert,168.67,1.5466666666666669,14.59,0.0,10.875,69.87475000000006,20.082082448405856,20.082082448405856,38.5,0.7071067811865476,2.0,98.16335905761004,26.551724137931032,41.9,Depth
Khalil Herbert,166.52,1.5466666666666669,19.64,0.0,11.435,69.97945238095241,20.112174031514623,20.112174031514623,38.5,0.7071067811865476,2.0,98.16335905761004,26.551724137931032,41.9,Depth
Kimani Vidal,188.87,1.67,57.12,1.1733809523809524,6.99,74.86700000000002,21.516860763935476,21.516860763935476,,,,,,21.1,Risky
Kyren Williams,1303.92,14.05,182.46,2.0,33.98,282.10099999999966,81.0761475465419,81.0761475465419,126.0,5.656854249492381,2.0,95.51043317095498,86.89655172413792,86.7,Elite
